id;first_name;last_name;email;phone
1;Ayana;MacGyver;"l@F.B";683.553.9041 x462
2;Arvid;Hickle;"A@E<%(2.aAOa";807.239.0689 x69590
3;Odessa;Klocko;",e/y@<.z}RN";651.934.7233
4;Hugh;White;"Z5tt`@>Uy)wO.Z";1-451-528-2067 x129
5;Leif;Lynch;"98le@MxN.~}k$\";1-763-379-4701
6;Thaddeus;Crist;"%'Zb%)@[g6*:|.!K3";1-872-381-4128 x0092
7;Brianne;Buckridge;")Uou6@%.9HR4'";392-593-1500
8;Tremaine;Corwin;"Av@;p/:%.}";852.940.4833 x693
9;Moises;Prohaska;"Nd8}@u.QpS";1-312-554-8597
10;Jamison;Johnson;"G@snH.O";1-338-976-4001 x1776
